acct_name,this_year_amt,this_year_percent,last_year_amt,last_year_percent,report_name,company_id,company_name,creation_date,seq,stock
負債總額,"10,401,964",58.41,"11,497,463",61.31,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,44,1201
歸屬於母公司業主之權益,,,,,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,45,1201
股本,,,,,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,46,1201
普通股股本,"5,060,629",28.42,"5,060,629",26.99,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,47,1201
股本合計,"5,060,629",28.42,"5,060,629",26.99,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,48,1201
資本公積,,,,,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,49,1201
資本公積－受贈資產,"35,427",0.20,"35,427",0.19,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,50,1201
資本公積－其他,688,0.00,688,0.00,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,51,1201
資本公積合計,"36,115",0.20,"36,115",0.19,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,52,1201
保留盈餘,,,,,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,53,1201
法定盈餘公積,"821,468",4.61,"786,135",4.19,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,54,1201
特別盈餘公積,"204,898",1.15,"285,547",1.52,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,55,1201
未分配盈餘（或待彌補虧損）,"1,431,787",8.04,"1,268,256",6.76,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,56,1201
保留盈餘合計,"2,458,153",13.80,"2,339,938",12.48,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,57,1201
其他權益,,,,,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,58,1201
國外營運機構財務報表換算之兌換差額,"-155,755",-0.87,"-189,490",-1.01,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,59,1201
其他權益合計,"-155,755",-0.87,"-189,490",-1.01,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,60,1201
